P_list: [10, 30, 50, 100]
rho_list: [np.float64(0.0), np.float64(0.025), np.float64(0.05), np.float64(0.075), np.float64(0.1), np.float64(0.125), np.float64(0.15), np.float64(0.175), np.float64(0.2), np.float64(0.225), np.float64(0.25), np.float64(0.275), np.float64(0.3), np.float64(0.325), np.float64(0.35), np.float64(0.375), np.float64(0.4), np.float64(0.425), np.float64(0.45), np.float64(0.475), np.float64(0.5), np.float64(0.525), np.float64(0.55), np.float64(0.575), np.float64(0.6), np.float64(0.625), np.float64(0.65), np.float64(0.675), np.float64(0.7), np.float64(0.725), np.float64(0.75), np.float64(0.775), np.float64(0.8), np.float64(0.825), np.float64(0.85), np.float64(0.875), np.float64(0.9), np.float64(0.925), np.float64(0.95), np.float64(0.975), np.float64(1.0)]
n_iters: 300000
n_diag_samples: 100
run_pcn: False
run_mess: False
run_independent_pcn: True
checkpoint_interval: 10000
data_id: data_h37adb6467e8e
run_id: mpcn_rho_sweep_h5c884eebabc6
Run directory: /home/senng/multiproposal-internal/estimations/polar_twist/data_h37adb6467e8e/sweep/mpcn_rho_sweep_h5c884eebabc6
pCN disabled (run_pcn=False).
pCN independent chain 96/100 done: rho=0.000, accept=0.108, runtime=5.23s
pCN independent chain 97/100 done: rho=0.000, accept=0.108, runtime=5.25s
pCN independent chain 98/100 done: rho=0.000, accept=0.107, runtime=5.25s
pCN independent chain 99/100 done: rho=0.000, accept=0.108, runtime=5.24s
pCN independent chain 100/100 done: rho=0.000, accept=0.106, runtime=5.24s
pCN independent done: P=100, rho=0.000, total_runtime=526.29s
pCN independent chain 1/100 done: rho=0.025, accept=0.109, runtime=5.25s
pCN independent chain 2/100 done: rho=0.025, accept=0.108, runtime=5.26s
pCN independent chain 3/100 done: rho=0.025, accept=0.107, runtime=5.27s
pCN independent chain 4/100 done: rho=0.025, accept=0.110, runtime=5.30s
pCN independent chain 5/100 done: rho=0.025, accept=0.106, runtime=5.28s
pCN independent chain 6/100 done: rho=0.025, accept=0.107, runtime=5.26s
pCN independent chain 7/100 done: rho=0.025, accept=0.107, runtime=5.24s
pCN independent chain 8/100 done: rho=0.025, accept=0.107, runtime=5.26s
pCN independent chain 9/100 done: rho=0.025, accept=0.108, runtime=5.26s
pCN independent chain 10/100 done: rho=0.025, accept=0.109, runtime=5.25s
pCN independent chain 11/100 done: rho=0.025, accept=0.106, runtime=5.24s
pCN independent chain 12/100 done: rho=0.025, accept=0.107, runtime=5.26s
pCN independent chain 13/100 done: rho=0.025, accept=0.107, runtime=5.23s
pCN independent chain 14/100 done: rho=0.025, accept=0.107, runtime=5.25s
pCN independent chain 15/100 done: rho=0.025, accept=0.107, runtime=5.23s
pCN independent chain 16/100 done: rho=0.025, accept=0.107, runtime=5.25s
pCN independent chain 17/100 done: rho=0.025, accept=0.107, runtime=5.26s
pCN independent chain 18/100 done: rho=0.025, accept=0.107, runtime=5.26s
pCN independent chain 19/100 done: rho=0.025, accept=0.108, runtime=5.26s
pCN independent chain 20/100 done: rho=0.025, accept=0.108, runtime=5.25s
pCN independent chain 21/100 done: rho=0.025, accept=0.108, runtime=5.25s
pCN independent chain 22/100 done: rho=0.025, accept=0.108, runtime=5.24s
pCN independent chain 23/100 done: rho=0.025, accept=0.108, runtime=5.25s
pCN independent chain 24/100 done: rho=0.025, accept=0.108, runtime=5.25s
pCN independent chain 25/100 done: rho=0.025, accept=0.108, runtime=5.28s
pCN independent chain 26/100 done: rho=0.025, accept=0.108, runtime=5.29s
pCN independent chain 27/100 done: rho=0.025, accept=0.107, runtime=5.24s
pCN independent chain 28/100 done: rho=0.025, accept=0.107, runtime=5.24s
pCN independent chain 29/100 done: rho=0.025, accept=0.108, runtime=5.25s
pCN independent chain 30/100 done: rho=0.025, accept=0.108, runtime=5.24s
pCN independent chain 31/100 done: rho=0.025, accept=0.108, runtime=5.24s
pCN independent chain 32/100 done: rho=0.025, accept=0.109, runtime=5.24s
pCN independent chain 33/100 done: rho=0.025, accept=0.108, runtime=5.24s
pCN independent chain 34/100 done: rho=0.025, accept=0.107, runtime=5.24s
pCN independent chain 35/100 done: rho=0.025, accept=0.108, runtime=5.24s
pCN independent chain 36/100 done: rho=0.025, accept=0.107, runtime=5.25s
pCN independent chain 37/100 done: rho=0.025, accept=0.107, runtime=5.24s
pCN independent chain 38/100 done: rho=0.025, accept=0.107, runtime=5.25s
pCN independent chain 39/100 done: rho=0.025, accept=0.108, runtime=5.24s
pCN independent chain 40/100 done: rho=0.025, accept=0.109, runtime=5.27s
pCN independent chain 41/100 done: rho=0.025, accept=0.110, runtime=5.24s
pCN independent chain 42/100 done: rho=0.025, accept=0.107, runtime=5.24s
pCN independent chain 43/100 done: rho=0.025, accept=0.108, runtime=5.25s
pCN independent chain 44/100 done: rho=0.025, accept=0.108, runtime=5.24s
pCN independent chain 45/100 done: rho=0.025, accept=0.107, runtime=5.28s
pCN independent chain 46/100 done: rho=0.025, accept=0.106, runtime=5.30s
pCN independent chain 47/100 done: rho=0.025, accept=0.107, runtime=5.29s
pCN independent chain 48/100 done: rho=0.025, accept=0.107, runtime=5.25s
pCN independent chain 49/100 done: rho=0.025, accept=0.108, runtime=5.23s
pCN independent chain 50/100 done: rho=0.025, accept=0.108, runtime=5.23s
pCN independent chain 51/100 done: rho=0.025, accept=0.108, runtime=5.25s
pCN independent chain 52/100 done: rho=0.025, accept=0.107, runtime=5.24s
pCN independent chain 53/100 done: rho=0.025, accept=0.108, runtime=5.24s
pCN independent chain 54/100 done: rho=0.025, accept=0.107, runtime=5.25s
pCN independent chain 55/100 done: rho=0.025, accept=0.108, runtime=5.26s
pCN independent chain 56/100 done: rho=0.025, accept=0.108, runtime=5.25s
pCN independent chain 57/100 done: rho=0.025, accept=0.108, runtime=5.26s
pCN independent chain 58/100 done: rho=0.025, accept=0.108, runtime=5.27s
pCN independent chain 59/100 done: rho=0.025, accept=0.107, runtime=5.24s
pCN independent chain 60/100 done: rho=0.025, accept=0.107, runtime=5.25s
pCN independent chain 61/100 done: rho=0.025, accept=0.108, runtime=5.24s
pCN independent chain 62/100 done: rho=0.025, accept=0.109, runtime=5.26s
pCN independent chain 63/100 done: rho=0.025, accept=0.108, runtime=5.27s
pCN independent chain 64/100 done: rho=0.025, accept=0.108, runtime=5.26s
pCN independent chain 65/100 done: rho=0.025, accept=0.109, runtime=5.26s
pCN independent chain 66/100 done: rho=0.025, accept=0.108, runtime=5.30s
pCN independent chain 67/100 done: rho=0.025, accept=0.108, runtime=5.29s
pCN independent chain 68/100 done: rho=0.025, accept=0.107, runtime=5.30s
pCN independent chain 69/100 done: rho=0.025, accept=0.108, runtime=5.27s
pCN independent chain 70/100 done: rho=0.025, accept=0.108, runtime=5.24s
pCN independent chain 71/100 done: rho=0.025, accept=0.109, runtime=5.23s
pCN independent chain 72/100 done: rho=0.025, accept=0.109, runtime=5.24s
pCN independent chain 73/100 done: rho=0.025, accept=0.109, runtime=5.24s
pCN independent chain 74/100 done: rho=0.025, accept=0.107, runtime=5.24s
pCN independent chain 75/100 done: rho=0.025, accept=0.109, runtime=5.24s
pCN independent chain 76/100 done: rho=0.025, accept=0.108, runtime=5.24s
pCN independent chain 77/100 done: rho=0.025, accept=0.108, runtime=5.23s
pCN independent chain 78/100 done: rho=0.025, accept=0.108, runtime=5.25s
pCN independent chain 79/100 done: rho=0.025, accept=0.108, runtime=5.25s
pCN independent chain 80/100 done: rho=0.025, accept=0.108, runtime=5.27s
pCN independent chain 81/100 done: rho=0.025, accept=0.107, runtime=5.25s
pCN independent chain 82/100 done: rho=0.025, accept=0.107, runtime=5.26s
pCN independent chain 83/100 done: rho=0.025, accept=0.109, runtime=5.26s
pCN independent chain 84/100 done: rho=0.025, accept=0.109, runtime=5.25s
pCN independent chain 85/100 done: rho=0.025, accept=0.108, runtime=5.26s
pCN independent chain 86/100 done: rho=0.025, accept=0.108, runtime=5.28s
pCN independent chain 87/100 done: rho=0.025, accept=0.107, runtime=5.30s
pCN independent chain 88/100 done: rho=0.025, accept=0.108, runtime=5.29s
pCN independent chain 89/100 done: rho=0.025, accept=0.107, runtime=5.30s
pCN independent chain 90/100 done: rho=0.025, accept=0.108, runtime=5.27s
pCN independent chain 91/100 done: rho=0.025, accept=0.108, runtime=5.25s
pCN independent chain 92/100 done: rho=0.025, accept=0.109, runtime=5.27s
pCN independent chain 93/100 done: rho=0.025, accept=0.108, runtime=5.25s
pCN independent chain 94/100 done: rho=0.025, accept=0.108, runtime=5.25s
pCN independent chain 95/100 done: rho=0.025, accept=0.107, runtime=5.25s
pCN independent chain 96/100 done: rho=0.025, accept=0.109, runtime=5.26s
pCN independent chain 97/100 done: rho=0.025, accept=0.107, runtime=5.28s
pCN independent chain 98/100 done: rho=0.025, accept=0.106, runtime=5.26s
pCN independent chain 99/100 done: rho=0.025, accept=0.108, runtime=5.26s
pCN independent chain 100/100 done: rho=0.025, accept=0.108, runtime=5.27s
pCN independent done: P=100, rho=0.025, total_runtime=525.57s
pCN independent chain 1/100 done: rho=0.050, accept=0.107, runtime=5.21s
pCN independent chain 2/100 done: rho=0.050, accept=0.109, runtime=5.22s
pCN independent chain 3/100 done: rho=0.050, accept=0.109, runtime=5.23s
pCN independent chain 4/100 done: rho=0.050, accept=0.108, runtime=5.24s
pCN independent chain 5/100 done: rho=0.050, accept=0.109, runtime=5.21s
pCN independent chain 6/100 done: rho=0.050, accept=0.108, runtime=5.25s
pCN independent chain 7/100 done: rho=0.050, accept=0.108, runtime=5.26s
pCN independent chain 8/100 done: rho=0.050, accept=0.108, runtime=5.28s
pCN independent chain 9/100 done: rho=0.050, accept=0.108, runtime=5.24s
pCN independent chain 10/100 done: rho=0.050, accept=0.107, runtime=5.23s
pCN independent chain 11/100 done: rho=0.050, accept=0.109, runtime=5.24s
pCN independent chain 12/100 done: rho=0.050, accept=0.108, runtime=5.22s
pCN independent chain 13/100 done: rho=0.050, accept=0.109, runtime=5.22s
pCN independent chain 14/100 done: rho=0.050, accept=0.107, runtime=5.24s
pCN independent chain 15/100 done: rho=0.050, accept=0.108, runtime=5.23s
pCN independent chain 16/100 done: rho=0.050, accept=0.109, runtime=5.22s
pCN independent chain 17/100 done: rho=0.050, accept=0.108, runtime=5.21s
pCN independent chain 18/100 done: rho=0.050, accept=0.108, runtime=5.22s
pCN independent chain 19/100 done: rho=0.050, accept=0.109, runtime=5.23s
pCN independent chain 20/100 done: rho=0.050, accept=0.108, runtime=5.24s
pCN independent chain 21/100 done: rho=0.050, accept=0.107, runtime=5.24s
pCN independent chain 22/100 done: rho=0.050, accept=0.107, runtime=5.23s
pCN independent chain 23/100 done: rho=0.050, accept=0.108, runtime=5.24s
pCN independent chain 24/100 done: rho=0.050, accept=0.109, runtime=5.23s
pCN independent chain 25/100 done: rho=0.050, accept=0.108, runtime=5.22s
pCN independent chain 26/100 done: rho=0.050, accept=0.107, runtime=5.23s
pCN independent chain 27/100 done: rho=0.050, accept=0.108, runtime=5.22s
pCN independent chain 28/100 done: rho=0.050, accept=0.107, runtime=5.22s
pCN independent chain 29/100 done: rho=0.050, accept=0.109, runtime=5.21s
pCN independent chain 30/100 done: rho=0.050, accept=0.107, runtime=5.26s
pCN independent chain 31/100 done: rho=0.050, accept=0.108, runtime=5.28s
pCN independent chain 32/100 done: rho=0.050, accept=0.108, runtime=5.25s
pCN independent chain 33/100 done: rho=0.050, accept=0.109, runtime=5.22s
pCN independent chain 34/100 done: rho=0.050, accept=0.107, runtime=5.22s
pCN independent chain 35/100 done: rho=0.050, accept=0.109, runtime=5.23s
pCN independent chain 36/100 done: rho=0.050, accept=0.108, runtime=5.25s
pCN independent chain 37/100 done: rho=0.050, accept=0.109, runtime=5.24s
pCN independent chain 38/100 done: rho=0.050, accept=0.108, runtime=5.22s
pCN independent chain 39/100 done: rho=0.050, accept=0.108, runtime=5.23s
pCN independent chain 40/100 done: rho=0.050, accept=0.108, runtime=5.23s
pCN independent chain 41/100 done: rho=0.050, accept=0.108, runtime=5.23s
pCN independent chain 42/100 done: rho=0.050, accept=0.109, runtime=5.22s
pCN independent chain 43/100 done: rho=0.050, accept=0.107, runtime=5.25s
pCN independent chain 44/100 done: rho=0.050, accept=0.109, runtime=5.23s
pCN independent chain 45/100 done: rho=0.050, accept=0.107, runtime=5.24s
pCN independent chain 46/100 done: rho=0.050, accept=0.108, runtime=5.25s
pCN independent chain 47/100 done: rho=0.050, accept=0.107, runtime=5.23s
pCN independent chain 48/100 done: rho=0.050, accept=0.108, runtime=5.26s
pCN independent chain 49/100 done: rho=0.050, accept=0.108, runtime=5.30s
pCN independent chain 50/100 done: rho=0.050, accept=0.109, runtime=5.27s
pCN independent chain 51/100 done: rho=0.050, accept=0.109, runtime=5.26s
pCN independent chain 52/100 done: rho=0.050, accept=0.108, runtime=5.23s
pCN independent chain 53/100 done: rho=0.050, accept=0.107, runtime=5.23s
pCN independent chain 54/100 done: rho=0.050, accept=0.108, runtime=5.24s
pCN independent chain 55/100 done: rho=0.050, accept=0.108, runtime=5.24s
pCN independent chain 56/100 done: rho=0.050, accept=0.108, runtime=5.22s
pCN independent chain 57/100 done: rho=0.050, accept=0.107, runtime=5.23s
pCN independent chain 58/100 done: rho=0.050, accept=0.108, runtime=5.23s
pCN independent chain 59/100 done: rho=0.050, accept=0.107, runtime=5.27s
pCN independent chain 60/100 done: rho=0.050, accept=0.109, runtime=5.26s
pCN independent chain 61/100 done: rho=0.050, accept=0.108, runtime=5.23s
pCN independent chain 62/100 done: rho=0.050, accept=0.108, runtime=5.22s
pCN independent chain 63/100 done: rho=0.050, accept=0.108, runtime=5.23s
pCN independent chain 64/100 done: rho=0.050, accept=0.107, runtime=5.23s
pCN independent chain 65/100 done: rho=0.050, accept=0.108, runtime=5.24s
pCN independent chain 66/100 done: rho=0.050, accept=0.109, runtime=5.24s
pCN independent chain 67/100 done: rho=0.050, accept=0.108, runtime=5.26s
pCN independent chain 68/100 done: rho=0.050, accept=0.108, runtime=5.27s
pCN independent chain 69/100 done: rho=0.050, accept=0.108, runtime=5.28s
pCN independent chain 70/100 done: rho=0.050, accept=0.109, runtime=5.28s
pCN independent chain 71/100 done: rho=0.050, accept=0.107, runtime=5.30s
pCN independent chain 72/100 done: rho=0.050, accept=0.109, runtime=5.22s
pCN independent chain 73/100 done: rho=0.050, accept=0.107, runtime=5.24s
pCN independent chain 74/100 done: rho=0.050, accept=0.109, runtime=5.23s
pCN independent chain 75/100 done: rho=0.050, accept=0.109, runtime=5.23s
pCN independent chain 76/100 done: rho=0.050, accept=0.107, runtime=5.23s
pCN independent chain 77/100 done: rho=0.050, accept=0.108, runtime=5.24s
pCN independent chain 78/100 done: rho=0.050, accept=0.109, runtime=5.24s
pCN independent chain 79/100 done: rho=0.050, accept=0.109, runtime=5.26s
pCN independent chain 80/100 done: rho=0.050, accept=0.107, runtime=5.23s
pCN independent chain 81/100 done: rho=0.050, accept=0.109, runtime=5.24s
pCN independent chain 82/100 done: rho=0.050, accept=0.108, runtime=5.24s
pCN independent chain 83/100 done: rho=0.050, accept=0.107, runtime=5.25s
pCN independent chain 84/100 done: rho=0.050, accept=0.108, runtime=5.24s
pCN independent chain 85/100 done: rho=0.050, accept=0.106, runtime=5.25s
pCN independent chain 86/100 done: rho=0.050, accept=0.108, runtime=5.26s
pCN independent chain 87/100 done: rho=0.050, accept=0.108, runtime=5.27s
pCN independent chain 88/100 done: rho=0.050, accept=0.108, runtime=5.29s
pCN independent chain 89/100 done: rho=0.050, accept=0.109, runtime=5.29s
pCN independent chain 90/100 done: rho=0.050, accept=0.109, runtime=5.26s
pCN independent chain 91/100 done: rho=0.050, accept=0.109, runtime=5.22s
pCN independent chain 92/100 done: rho=0.050, accept=0.108, runtime=5.23s
pCN independent chain 93/100 done: rho=0.050, accept=0.108, runtime=5.24s
pCN independent chain 94/100 done: rho=0.050, accept=0.106, runtime=5.24s
pCN independent chain 95/100 done: rho=0.050, accept=0.108, runtime=5.21s
pCN independent chain 96/100 done: rho=0.050, accept=0.107, runtime=5.21s
pCN independent chain 97/100 done: rho=0.050, accept=0.108, runtime=5.22s
pCN independent chain 98/100 done: rho=0.050, accept=0.107, runtime=5.23s
pCN independent chain 99/100 done: rho=0.050, accept=0.108, runtime=5.23s
pCN independent chain 100/100 done: rho=0.050, accept=0.108, runtime=5.24s
pCN independent done: P=100, rho=0.050, total_runtime=524.00s
pCN independent chain 1/100 done: rho=0.075, accept=0.110, runtime=5.25s
pCN independent chain 2/100 done: rho=0.075, accept=0.109, runtime=5.23s
pCN independent chain 3/100 done: rho=0.075, accept=0.109, runtime=5.24s
pCN independent chain 4/100 done: rho=0.075, accept=0.109, runtime=5.24s
pCN independent chain 5/100 done: rho=0.075, accept=0.108, runtime=5.25s
pCN independent chain 6/100 done: rho=0.075, accept=0.109, runtime=5.24s
pCN independent chain 7/100 done: rho=0.075, accept=0.109, runtime=5.23s
pCN independent chain 8/100 done: rho=0.075, accept=0.109, runtime=5.23s
pCN independent chain 9/100 done: rho=0.075, accept=0.108, runtime=5.24s
pCN independent chain 10/100 done: rho=0.075, accept=0.108, runtime=5.25s
pCN independent chain 11/100 done: rho=0.075, accept=0.110, runtime=5.30s
pCN independent chain 12/100 done: rho=0.075, accept=0.108, runtime=5.28s
pCN independent chain 13/100 done: rho=0.075, accept=0.108, runtime=5.26s
pCN independent chain 14/100 done: rho=0.075, accept=0.109, runtime=5.23s
pCN independent chain 15/100 done: rho=0.075, accept=0.107, runtime=5.25s
pCN independent chain 16/100 done: rho=0.075, accept=0.108, runtime=5.25s
pCN independent chain 17/100 done: rho=0.075, accept=0.109, runtime=5.25s
pCN independent chain 18/100 done: rho=0.075, accept=0.108, runtime=5.25s
pCN independent chain 19/100 done: rho=0.075, accept=0.108, runtime=5.23s
pCN independent chain 20/100 done: rho=0.075, accept=0.109, runtime=5.23s
pCN independent chain 21/100 done: rho=0.075, accept=0.109, runtime=5.22s
pCN independent chain 22/100 done: rho=0.075, accept=0.108, runtime=5.25s
pCN independent chain 23/100 done: rho=0.075, accept=0.108, runtime=5.24s
pCN independent chain 24/100 done: rho=0.075, accept=0.108, runtime=5.24s
pCN independent chain 25/100 done: rho=0.075, accept=0.107, runtime=5.24s
pCN independent chain 26/100 done: rho=0.075, accept=0.108, runtime=5.24s
pCN independent chain 27/100 done: rho=0.075, accept=0.107, runtime=5.24s
pCN independent chain 28/100 done: rho=0.075, accept=0.108, runtime=5.25s
pCN independent chain 29/100 done: rho=0.075, accept=0.108, runtime=5.23s
